name,english,emoji,xp,rarity,description,category
Gråsparv,House Sparrow,🐦,10,common,"Small brown bird with grey cap, seen in parks and gardens year-round",bird
Stadsduva,Feral Pigeon,🕊️,8,common,"Grey urban bird with iridescent neck feathers, common in city squares",bird
Gråtrut,Herring Gull,🦅,12,common,"Large grey and white gull with yellow bill, loud calls near water",bird
Gräsand,Mallard,🦆,10,common,"Green-headed duck (male) with blue wing patches, found in all waterways",bird
Knölsvan,Mute Swan,🦢,18,common,"Elegant white waterbird with orange bill, graceful on Stockholm's lakes",bird
Blåmes,Eurasian Blue Tit,🐦,12,common,"Tiny bird with blue cap and yellow breast, acrobatic feeder",bird
Talgoxe,Great Tit,🐦,12,common,"Bold black and white bird with yellow belly, frequent garden visitor",bird
Skata,Eurasian Magpie,🐦,14,common,"Black and white bird with long tail, intelligent and curious",bird
Kråka,Hooded Crow,🐦,12,common,"Grey and black crow, clever scavenger in urban and rural areas",bird
Koltrast,Common Blackbird,🐦,10,common,"Black bird with yellow bill (male), melodious evening singer",bird
Ringduva,Common Wood Pigeon,🕊️,10,common,"Large grey dove with white neck patch, cooing in parks",bird
Bofink,Common Chaffinch,🐦,11,common,Colorful finch with pink breast and white wing bars,bird
Stjärtmes,Long-tailed Tit,🐦,13,common,"Tiny fluffy bird with very long tail, travels in chattering flocks",bird
Svala,Barn Swallow,🐦,14,common,"Sleek bird with forked tail, catches insects in flight during summer",bird
Gråhäger,Grey Heron,🦆,16,common,"Tall grey wading bird with long neck, patient fish hunter",bird
Fiskmås,Common Gull,🦅,11,common,"Medium-sized gull with greenish legs, common near water and cities",bird
Ekorre,Red Squirrel,🐿️,15,common,"Rusty-red rodent with ear tufts, agile tree climber in parks and forests",mammal
Vanlig groda,Common Frog,🐸,12,common,"Brown spotted frog, found in ponds and wetlands throughout Stockholm",amphibian
Åkergroda,Moor Frog,🐸,14,common,"Small frog that turns blue during breeding, prefers marshes and meadows",amphibian
Vanlig padda,Common Toad,🐸,15,common,"Warty brown amphibian, comes to water to breed in spring",amphibian
Nässelfjäril,Small Tortoiseshell,🦋,8,common,"Orange butterfly with black and blue markings, feeds on nettles as caterpillar",invertebrate
Skogsmyra,Wood Ant,🐜,5,common,"Red and black ant building large mounds in forests, important decomposer",invertebrate
Dagpåfågelöga,Peacock Butterfly,🦋,9,common,"Striking butterfly with eye-spots on wings, hibernates as adult",invertebrate
Tistelfjäril,Painted Lady,🦋,9,common,Orange-brown migrant butterfly with black and white markings,invertebrate
Citronfjäril,Brimstone Butterfly,🦋,10,common,"Lemon-yellow butterfly, one of the first to appear in spring",invertebrate
Parksnigel,Garden Snail,🐌,6,common,"Brown snail with spiral shell, active in gardens after rain",invertebrate
Daggmask,Earthworm,🪱,4,common,"Pink segmented worm, vital for soil health and composting",invertebrate
Honungsbi,Honey Bee,🐝,7,common,Fuzzy yellow and black bee that produces honey and pollinates flowers,invertebrate
Humla,Bumblebee,🐝,8,common,"Large fuzzy bee with loud buzz, important early-season pollinator",invertebrate
Jordhumla,Buff-tailed Bumblebee,🐝,8,common,Common bumblebee with pale yellow stripes and buff-colored tail,invertebrate
Flygekorre,Siberian Flying Squirrel,🐿️,85,uncommon,"Nocturnal squirrel with gliding membrane, rare protected species in old forests",mammal
Rådjur,Roe Deer,🦌,50,uncommon,"Small graceful deer with white rump, seen at forest edges and fields",mammal
